id,sector,firm_size,electricity_outage,has_website,internet_disruptions,female_ownership,credit_applied,credit_approved,credit_received_full,import_raw_materials_pct,export_indirect_pct,export_direct_pct,region,export_total_pct
54,Food,Small,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
59,Food,Small,Yes,No,No,No,Very severe obstacle,Moderate obstacle,Major obstacle,0,0.0,0.0,Punjab,0.0
64,Food,Medium,No,No,No,No,Very severe obstacle,Moderate obstacle,Very severe obstacle,0,0.0,0.0,Sindh,0.0
65,Food,Medium,No,Yes,The establishment does not have an internet connection,No,Moderate obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
77,Food,Small,Yes,No,No,No,Major obstacle,Minor obstacle,Moderate obstacle,0,0.0,0.0,Balochistan,0.0
84,Food,Medium,Yes,No,No,No,Moderate obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
89,Food,Medium,Yes,Yes,No,No,Major obstacle,Major obstacle,Major obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
90,Food,Medium,No,Yes,No,No,Major obstacle,Major obstacle,Minor obstacle,0,50.0,0.0,Punjab,50.0
103,Food,Medium,No,No,No,No,Major obstacle,Moderate obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
105,Food,Large,Yes,Yes,No,No,Very severe obstacle,Major obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
106,Food,Medium,No,No,No,No,Major obstacle,Moderate obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
107,Food,Medium,No,Yes,No,No,Very severe obstacle,No obstacle,Major obstacle,0,0.0,0.0,Islamabad,0.0
112,Food,Medium,Yes,Yes,No,No,Moderate obstacle,Major obstacle,Major obstacle,20,20.0,0.0,Punjab,20.0
120,Food,Medium,No,Yes,No,Yes,Minor obstacle,Minor obstacle,Minor obstacle,20,0.0,0.0,Sindh,0.0
121,Food,Medium,Yes,Don't know (spontaneous),Yes,No,Minor obstacle,Moderate obstacle,Very severe obstacle,0,0.0,0.0,Punjab,0.0
122,Food,Medium,No,No,The establishment does not have an internet connection,No,Very severe obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
123,Food,Large,No,Yes,No,Don't know (spontaneous),No obstacle,Minor obstacle,No obstacle,50,0.0,0.0,Sindh,0.0
128,Food,Small,Yes,No,No,No,Minor obstacle,Major obstacle,Minor obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
129,Food,Medium,Yes,Yes,The establishment does not have an internet connection,No,Moderate obstacle,Moderate obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
131,Food,Small,No,Yes,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
134,Food,Medium,Yes,No,The establishment does not have an internet connection,No,Very severe obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Balochistan,0.0
135,Food,Medium,No,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
141,Food,Large,No,Yes,Yes,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
145,Food,Medium,Yes,No,Yes,No,Major obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
149,Food,Large,Yes,Yes,No,No,Very severe obstacle,Minor obstacle,No obstacle,50,0.0,0.0,Sindh,0.0
150,Food,Large,No,Yes,No,Yes,Moderate obstacle,Minor obstacle,Very severe obstacle,20,0.0,0.0,Sindh,0.0
154,Food,Large,No,Yes,No,Yes,Major obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
160,Food,Medium,No,No,The establishment does not have an internet connection,No,Major obstacle,Major obstacle,Moderate obstacle,0,0.0,0.0,Islamabad,0.0
162,Food,Small,Yes,Yes,No,No,Major obstacle,Major obstacle,Moderate obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
164,Food,Medium,No,Yes,Yes,No,Minor obstacle,Minor obstacle,Moderate obstacle,0,0.0,0.0,Islamabad,0.0
173,Food,Large,Yes,Yes,No,No,Minor obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
174,Food,Medium,Yes,No,No,No,Major obstacle,Moderate obstacle,Major obstacle,0,0.0,0.0,Punjab,0.0
176,Food,Small,Yes,No,The establishment does not have an internet connection,No,Very severe obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Balochistan,0.0
178,Food,Small,Yes,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Balochistan,0.0
184,Food,Small,No,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
188,Food,Small,Yes,No,The establishment does not have an internet connection,No,No obstacle,No obstacle,Minor obstacle,0,0.0,0.0,Balochistan,0.0
189,Food,Large,Yes,No,No,No,Very severe obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
191,Food,Small,Yes,No,The establishment does not have an internet connection,No,Does not apply,Does not apply,Does not apply,0,0.0,0.0,Balochistan,0.0
194,Food,Large,No,Yes,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
200,Food,Small,Yes,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Balochistan,0.0
201,Food,Medium,No,No,Yes,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
203,Food,Small,Yes,Yes,No,No,Major obstacle,No obstacle,No obstacle,0,0.0,0.0,Balochistan,0.0
206,Food,Small,Yes,No,No,No,Very severe obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Balochistan,0.0
209,Food,Medium,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
211,Food,Medium,Yes,Yes,No,No,Very severe obstacle,Minor obstacle,No obstacle,5,0.0,0.0,Punjab,0.0
214,Food,Small,No,Yes,No,No,Moderate obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
216,Food,Large,No,Yes,No,Don't know (spontaneous),Very severe obstacle,No obstacle,No obstacle,0,0.0,100.0,Sindh,100.0
221,Food,Small,Yes,No,No,No,Very severe obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Balochistan,0.0
222,Other Manufacturing,Small,No,Yes,No,No,Moderate obstacle,Moderate obstacle,Major obstacle,50,0.0,0.0,Khyber-Pakhtunkhwa,0.0
223,Other Manufacturing,Large,Yes,Yes,Yes,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
224,Other Manufacturing,Small,No,Yes,No,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
226,Other Manufacturing,Small,Yes,No,No,No,Minor obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
230,Other Manufacturing,Small,Yes,Yes,No,No,Moderate obstacle,Very severe obstacle,Very severe obstacle,0,0.0,0.0,Punjab,0.0
231,Other Manufacturing,Small,Yes,Yes,No,No,Minor obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
234,Other Manufacturing,Small,Yes,Yes,No,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
236,Textiles,Medium,Yes,No,No,No,Minor obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
238,Textiles,Large,No,Yes,Yes,No,Moderate obstacle,Minor obstacle,Very severe obstacle,0,0.0,0.0,Punjab,0.0
239,Textiles,Large,No,Yes,No,Yes,Major obstacle,Moderate obstacle,Moderate obstacle,0,0.0,60.0,Punjab,60.0
244,Textiles,Large,No,Yes,No,No,Moderate obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
247,Textiles,Large,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
248,Textiles,Large,Yes,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
250,Textiles,Small,No,Yes,No,Yes,Moderate obstacle,Major obstacle,Moderate obstacle,30,20.0,60.0,Punjab,80.0
251,Textiles,Medium,Yes,No,The establishment does not have an internet connection,No,Minor obstacle,Major obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
252,Textiles,Medium,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
253,Textiles,Small,No,No,The establishment does not have an internet connection,No,Very severe obstacle,No obstacle,No obstacle,60,0.0,0.0,Sindh,0.0
257,Textiles,Large,Yes,Yes,No,Yes,Major obstacle,Moderate obstacle,No obstacle,0,0.0,100.0,Punjab,100.0
259,Textiles,Large,No,Yes,No,No,Major obstacle,No obstacle,No obstacle,60,0.0,100.0,Sindh,100.0
261,Textiles,Medium,No,No,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
264,Textiles,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
270,Textiles,Large,No,Yes,No,No,Major obstacle,No obstacle,No obstacle,0,20.0,80.0,Sindh,100.0
271,Textiles,Small,No,No,The establishment does not have an internet connection,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
272,Textiles,Large,Yes,Yes,No,No,Minor obstacle,Moderate obstacle,Major obstacle,0,0.0,100.0,Punjab,100.0
273,Textiles,Medium,Yes,No,No,No,Very severe obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
275,Textiles,Medium,No,Yes,No,No,Minor obstacle,Moderate obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
281,Textiles,Medium,Yes,No,No,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
282,Textiles,Large,No,Yes,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,10,0.0,90.0,Punjab,90.0
283,Textiles,Large,Yes,No,The establishment does not have an internet connection,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
284,Textiles,Large,Yes,Yes,Yes,Yes,Minor obstacle,No obstacle,No obstacle,70,0.0,75.0,Sindh,75.0
285,Textiles,Large,No,Yes,No,Yes,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,100.0,Sindh,100.0
287,Textiles,Small,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
291,Textiles,Medium,No,No,No,No,Major obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
293,Textiles,Medium,Yes,No,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
294,Textiles,Small,Yes,No,Yes,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
296,Textiles,Large,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
297,Textiles,Medium,Yes,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,40,0.0,20.0,Punjab,20.0
298,Textiles,Medium,Yes,No,No,No,Minor obstacle,Moderate obstacle,Minor obstacle,60,0.0,20.0,Punjab,20.0
299,Textiles,Medium,Yes,Yes,No,No,Very severe obstacle,Very severe obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
304,Textiles,Medium,No,Yes,No,No,Moderate obstacle,Major obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
305,Textiles,Small,Yes,Yes,Yes,No,Minor obstacle,Major obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
308,Textiles,Medium,Yes,Yes,Yes,Yes,Minor obstacle,Minor obstacle,Major obstacle,20,0.0,0.0,Punjab,0.0
311,Textiles,Medium,Yes,No,No,No,Moderate obstacle,Minor obstacle,Moderate obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
312,Textiles,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
313,Textiles,Medium,No,No,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
315,Textiles,Medium,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
316,Textiles,Small,No,No,No,No,Moderate obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
319,Textiles,Small,Yes,Yes,No,No,Moderate obstacle,Major obstacle,Minor obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
320,Textiles,Small,Yes,No,The establishment does not have an internet connection,No,Moderate obstacle,Moderate obstacle,No obstacle,50,0.0,0.0,Balochistan,0.0
324,Textiles,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
325,Textiles,Small,No,Yes,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
326,Textiles,Small,No,No,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
327,Textiles,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
328,Textiles,Small,Yes,Yes,No,No,Major obstacle,Major obstacle,Major obstacle,0,0.0,0.0,Punjab,0.0
329,Textiles,Small,Yes,No,No,Yes,Major obstacle,Major obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
330,Textiles,Large,No,Yes,Yes,No,Moderate obstacle,Minor obstacle,Minor obstacle,0,0.0,100.0,Punjab,100.0
331,Textiles,Small,Yes,No,No,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
333,Textiles,Medium,No,No,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
336,Textiles,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,20,0.0,100.0,Punjab,100.0
337,Textiles,Medium,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,10,0.0,100.0,Punjab,100.0
338,Textiles,Small,No,No,The establishment does not have an internet connection,No,Moderate obstacle,Major obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
339,Textiles,Large,No,No,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,10,0.0,100.0,Punjab,100.0
340,Textiles,Small,No,No,No,No,Major obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
342,Textiles,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
345,Textiles,Small,Yes,Yes,No,Yes,Moderate obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
351,Textiles,Medium,Yes,No,No,No,Moderate obstacle,Major obstacle,Very severe obstacle,0,0.0,0.0,Punjab,0.0
352,Textiles,Medium,Yes,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
353,Textiles,Medium,No,Yes,No,No,Major obstacle,Moderate obstacle,Minor obstacle,40,0.0,0.0,Islamabad,0.0
355,Textiles,Large,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
357,Textiles,Small,Yes,Yes,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
359,Textiles,Small,Yes,No,Yes,No,Moderate obstacle,Major obstacle,Very severe obstacle,0,0.0,0.0,Punjab,0.0
363,Textiles,Small,Yes,Yes,No,No,Very severe obstacle,Minor obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
365,Textiles,Small,No,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
372,Textiles,Large,Yes,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
375,Garments,Medium,No,No,No,No,No obstacle,Minor obstacle,Moderate obstacle,0,0.0,100.0,Sindh,100.0
376,Textiles,Small,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
377,Textiles,Medium,No,Yes,No,No,Minor obstacle,Minor obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
380,Textiles,Large,No,No,Yes,No,Moderate obstacle,Minor obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
382,Textiles,Medium,Yes,Yes,Yes,No,Minor obstacle,No obstacle,No obstacle,20,0.0,10.0,Punjab,10.0
383,Garments,Medium,Yes,No,No,No,Moderate obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
384,Textiles,Small,No,No,No,No,Major obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
386,Garments,Large,No,Yes,The establishment does not have an internet connection,No,Very severe obstacle,Very severe obstacle,Very severe obstacle,0,0.0,0.0,Punjab,0.0
387,Garments,Large,No,Yes,Yes,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
388,Textiles,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
389,Textiles,Medium,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
391,Textiles,Small,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
392,Garments,Large,No,Yes,No,No,Moderate obstacle,Moderate obstacle,Major obstacle,0,0.0,30.0,Sindh,30.0
394,Textiles,Small,Yes,No,No,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
395,Garments,Small,Yes,Yes,Yes,No,Moderate obstacle,Major obstacle,Major obstacle,0,0.0,0.0,Punjab,0.0
396,Garments,Medium,No,Yes,No,No,No obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
398,Garments,Medium,No,Yes,The establishment does not have an internet connection,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
400,Textiles,Medium,Yes,Yes,No,No,Moderate obstacle,Minor obstacle,No obstacle,0,20.0,0.0,Khyber-Pakhtunkhwa,20.0
401,Garments,Medium,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
402,Textiles,Medium,Yes,No,The establishment does not have an internet connection,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
403,Garments,Medium,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
404,Garments,Large,Yes,No,Yes,No,Moderate obstacle,Moderate obstacle,Moderate obstacle,0,0.0,50.0,Punjab,50.0
405,Garments,Medium,Yes,Yes,Yes,No,Minor obstacle,Major obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
406,Garments,Small,No,No,No,No,Major obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
409,Garments,Medium,No,Yes,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
414,Garments,Medium,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
415,Garments,Small,No,No,No,No,Moderate obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
418,Garments,Medium,No,No,The establishment does not have an internet connection,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
419,Garments,Small,Yes,Yes,No,No,Very severe obstacle,No obstacle,No obstacle,40,0.0,0.0,Sindh,0.0
421,Garments,Medium,No,Yes,Yes,No,Minor obstacle,Minor obstacle,Minor obstacle,Don't know (spontaneous),0.0,0.0,Punjab,0.0
422,Garments,Small,No,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
425,Garments,Small,Yes,No,No,No,Moderate obstacle,No obstacle,No obstacle,0,0.0,0.0,Punjab,0.0
426,Garments,Medium,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
429,Garments,Medium,Yes,Yes,No,No,Major obstacle,Major obstacle,Moderate obstacle,0,50.0,0.0,Punjab,50.0
430,Garments,Small,Yes,No,No,No,Major obstacle,Major obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
431,Garments,Medium,No,No,The establishment does not have an internet connection,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
432,Garments,Small,No,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
433,Garments,Small,No,No,The establishment does not have an internet connection,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
434,Garments,Small,No,No,The establishment does not have an internet connection,No,Major obstacle,Major obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
435,Garments,Small,No,No,No,No,Minor obstacle,No obstacle,Minor obstacle,0,0.0,0.0,Sindh,0.0
436,Garments,Small,No,No,Yes,No,Moderate obstacle,Minor obstacle,Very severe obstacle,0,50.0,0.0,Punjab,50.0
437,Garments,Medium,Yes,Yes,No,No,Moderate obstacle,Moderate obstacle,Moderate obstacle,0,100.0,0.0,Punjab,100.0
438,Garments,Small,No,Yes,Yes,No,Very severe obstacle,Very severe obstacle,Very severe obstacle,60,0.0,0.0,Islamabad,0.0
439,Garments,Medium,No,No,No,No,Moderate obstacle,Minor obstacle,Minor obstacle,Don't know (spontaneous),0.0,0.0,Punjab,0.0
440,Garments,Large,Yes,Yes,Yes,No,Very severe obstacle,Very severe obstacle,Major obstacle,0,0.0,60.0,Punjab,60.0
441,Garments,Large,No,Yes,No,No,Very severe obstacle,Moderate obstacle,Moderate obstacle,0,0.0,50.0,Punjab,50.0
444,Garments,Large,Yes,Yes,Yes,No,Very severe obstacle,Don't know (spontaneous),Very severe obstacle,0,50.0,0.0,Punjab,50.0
445,Garments,Small,Yes,No,No,No,No obstacle,No obstacle,No obstacle,20,0.0,0.0,Punjab,0.0
446,Garments,Large,No,Yes,No,No,Very severe obstacle,No obstacle,Very severe obstacle,20,40.0,60.0,Punjab,100.0
447,Garments,Large,No,No,Yes,No,Major obstacle,No obstacle,No obstacle,40,0.0,0.0,Sindh,0.0
449,Garments,Small,No,No,The establishment does not have an internet connection,No,Moderate obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
450,Garments,Large,No,Yes,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
451,Garments,Large,No,Yes,No,No,Moderate obstacle,Minor obstacle,No obstacle,0,0.0,99.0,Punjab,99.0
452,Garments,Small,No,Yes,The establishment does not have an internet connection,No,Minor obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
453,Garments,Small,No,No,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
454,Garments,Medium,No,Yes,No,No,Moderate obstacle,Minor obstacle,No obstacle,0,0.0,100.0,Punjab,100.0
455,Garments,Small,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
456,Garments,Small,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
457,Garments,Large,Yes,No,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
458,Garments,Small,No,No,Yes,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
459,Garments,Medium,Yes,No,No,No,No obstacle,Moderate obstacle,Major obstacle,0,0.0,0.0,Punjab,0.0
